value,flagInfo,parameter,period,coordinates,summary,coverage,sensor_id,unit,label,interval,dt_from_utc,dt_to_utc,dt_from_local,expectedCount,observedCount,percentComplete,percentCoverage,hasFlags,value_num,dt_from_utc_ts,dt_to_utc_ts
93.2,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T20:00:00Z', 'local': '2025-02-19T01:30:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T20:15:00Z', 'local': '2025-02-19T01:45:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T20:00:00Z', 'local': '2025-02-19T01:30:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T20:15:00Z', 'local': '2025-02-19T01:45:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T20:00:00Z,2025-02-18T20:15:00Z,2025-02-19T01:30:00+05:30,1,1,100.0,100.0,False,93.2,2025-02-18 20:00:00+00:00,2025-02-18 20:15:00+00:00
90.4,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T20:15:00Z', 'local': '2025-02-19T01:45:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T20:30:00Z', 'local': '2025-02-19T02:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T20:15:00Z', 'local': '2025-02-19T01:45:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T20:30:00Z', 'local': '2025-02-19T02:00:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T20:15:00Z,2025-02-18T20:30:00Z,2025-02-19T01:45:00+05:30,1,1,100.0,100.0,False,90.4,2025-02-18 20:15:00+00:00,2025-02-18 20:30:00+00:00
84.7,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T21:00:00Z', 'local': '2025-02-19T02:30:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T21:15:00Z', 'local': '2025-02-19T02:45:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T21:00:00Z', 'local': '2025-02-19T02:30:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T21:15:00Z', 'local': '2025-02-19T02:45:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T21:00:00Z,2025-02-18T21:15:00Z,2025-02-19T02:30:00+05:30,1,1,100.0,100.0,False,84.7,2025-02-18 21:00:00+00:00,2025-02-18 21:15:00+00:00
80.8,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T21:15:00Z', 'local': '2025-02-19T02:45:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T21:30:00Z', 'local': '2025-02-19T03:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T21:15:00Z', 'local': '2025-02-19T02:45:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T21:30:00Z', 'local': '2025-02-19T03:00:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T21:15:00Z,2025-02-18T21:30:00Z,2025-02-19T02:45:00+05:30,1,1,100.0,100.0,False,80.8,2025-02-18 21:15:00+00:00,2025-02-18 21:30:00+00:00
81.6,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T21:30:00Z', 'local': '2025-02-19T03:00:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T21:45:00Z', 'local': '2025-02-19T03:15:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T21:30:00Z', 'local': '2025-02-19T03:00:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T21:45:00Z', 'local': '2025-02-19T03:15:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T21:30:00Z,2025-02-18T21:45:00Z,2025-02-19T03:00:00+05:30,1,1,100.0,100.0,False,81.6,2025-02-18 21:30:00+00:00,2025-02-18 21:45:00+00:00
94.8,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T21:45:00Z', 'local': '2025-02-19T03:15:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:00:00Z', 'local': '2025-02-19T03:30:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T21:45:00Z', 'local': '2025-02-19T03:15:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:00:00Z', 'local': '2025-02-19T03:30:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T21:45:00Z,2025-02-18T22:00:00Z,2025-02-19T03:15:00+05:30,1,1,100.0,100.0,False,94.8,2025-02-18 21:45:00+00:00,2025-02-18 22:00:00+00:00
100.2,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T22:00:00Z', 'local': '2025-02-19T03:30:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:15:00Z', 'local': '2025-02-19T03:45:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T22:00:00Z', 'local': '2025-02-19T03:30:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:15:00Z', 'local': '2025-02-19T03:45:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T22:00:00Z,2025-02-18T22:15:00Z,2025-02-19T03:30:00+05:30,1,1,100.0,100.0,False,100.2,2025-02-18 22:00:00+00:00,2025-02-18 22:15:00+00:00
97.8,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T22:15:00Z', 'local': '2025-02-19T03:45:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:30:00Z', 'local': '2025-02-19T04:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T22:15:00Z', 'local': '2025-02-19T03:45:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:30:00Z', 'local': '2025-02-19T04:00:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T22:15:00Z,2025-02-18T22:30:00Z,2025-02-19T03:45:00+05:30,1,1,100.0,100.0,False,97.8,2025-02-18 22:15:00+00:00,2025-02-18 22:30:00+00:00
71.5,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T22:30:00Z', 'local': '2025-02-19T04:00:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:45:00Z', 'local': '2025-02-19T04:15:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T22:30:00Z', 'local': '2025-02-19T04:00:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T22:45:00Z', 'local': '2025-02-19T04:15:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T22:30:00Z,2025-02-18T22:45:00Z,2025-02-19T04:00:00+05:30,1,1,100.0,100.0,False,71.5,2025-02-18 22:30:00+00:00,2025-02-18 22:45:00+00:00
62.6,{'hasFlags': False},no,"{'label': 'raw', 'interval': '00:15:00', 'datetimeFrom': {'utc': '2025-02-18T22:45:00Z', 'local': '2025-02-19T04:15:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T23:00:00Z', 'local': '2025-02-19T04:30:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '00:15:00', 'observedCount': 1, 'observedInterval': '00:15:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2025-02-18T22:45:00Z', 'local': '2025-02-19T04:15:00+05:30'}, 'datetimeTo': {'utc': '2025-02-18T23:00:00Z', 'local': '2025-02-19T04:30:00+05:30'}}",12234783,ppb,raw,00:15:00,2025-02-18T22:45:00Z,2025-02-18T23:00:00Z,2025-02-19T04:15:00+05:30,1,1,100.0,100.0,False,62.6,2025-02-18 22:45:00+00:00,2025-02-18 23:00:00+00:00
