exception_id,rule_id,record_id,sensor_id,parameter,unit,station_group,event_date,value_num,failure_reason,severity
EX000001,DQ006,3001,12234784,no2,ppb,current_2025,2025-02-18 20:00:00+00:00,39.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000002,DQ006,3002,12234784,no2,ppb,current_2025,2025-02-18 20:15:00+00:00,43.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000003,DQ006,3003,12234784,no2,ppb,current_2025,2025-02-18 21:00:00+00:00,40.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000004,DQ006,3004,12234784,no2,ppb,current_2025,2025-02-18 21:15:00+00:00,39,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000005,DQ006,3005,12234784,no2,ppb,current_2025,2025-02-18 21:30:00+00:00,52.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000006,DQ006,3006,12234784,no2,ppb,current_2025,2025-02-18 21:45:00+00:00,52.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000007,DQ006,3007,12234784,no2,ppb,current_2025,2025-02-18 22:00:00+00:00,52.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000008,DQ006,3008,12234784,no2,ppb,current_2025,2025-02-18 22:15:00+00:00,44.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000009,DQ006,3009,12234784,no2,ppb,current_2025,2025-02-18 22:30:00+00:00,49,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000010,DQ006,3010,12234784,no2,ppb,current_2025,2025-02-18 22:45:00+00:00,50.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000011,DQ006,3011,12234784,no2,ppb,current_2025,2025-02-18 23:00:00+00:00,42.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000012,DQ006,3012,12234784,no2,ppb,current_2025,2025-02-18 23:15:00+00:00,41.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000013,DQ006,3013,12234784,no2,ppb,current_2025,2025-02-18 23:30:00+00:00,45,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000014,DQ006,3014,12234784,no2,ppb,current_2025,2025-02-18 23:45:00+00:00,39.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000015,DQ006,3015,12234784,no2,ppb,current_2025,2025-02-19 00:00:00+00:00,44.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000016,DQ006,3016,12234784,no2,ppb,current_2025,2025-02-19 00:15:00+00:00,45.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000017,DQ006,3017,12234784,no2,ppb,current_2025,2025-02-19 00:30:00+00:00,43.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000018,DQ006,3018,12234784,no2,ppb,current_2025,2025-02-19 00:45:00+00:00,34.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000019,DQ006,3019,12234784,no2,ppb,current_2025,2025-02-19 01:00:00+00:00,42.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000020,DQ006,3020,12234784,no2,ppb,current_2025,2025-02-19 01:15:00+00:00,41,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000021,DQ006,3021,12234784,no2,ppb,current_2025,2025-02-19 01:30:00+00:00,35.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000022,DQ006,3022,12234784,no2,ppb,current_2025,2025-02-19 01:45:00+00:00,40.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000023,DQ006,3023,12234784,no2,ppb,current_2025,2025-02-19 02:00:00+00:00,61,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000024,DQ006,3024,12234784,no2,ppb,current_2025,2025-02-19 02:15:00+00:00,61.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000025,DQ006,3025,12234784,no2,ppb,current_2025,2025-02-19 02:30:00+00:00,59.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000026,DQ006,3026,12234784,no2,ppb,current_2025,2025-02-19 02:45:00+00:00,57.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000027,DQ006,3027,12234784,no2,ppb,current_2025,2025-02-19 03:00:00+00:00,51.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000028,DQ006,3028,12234784,no2,ppb,current_2025,2025-02-19 03:15:00+00:00,52.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000029,DQ006,3029,12234784,no2,ppb,current_2025,2025-02-19 03:30:00+00:00,64.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
