event_date,missing_slots
05-02-2016,205
06-02-2016,513
07-02-2016,427
08-02-2016,423
09-02-2016,419
10-02-2016,467
11-02-2016,482
12-02-2016,436
13-02-2016,427
14-02-2016,437
15-02-2016,364
16-02-2016,375
17-02-2016,494
18-02-2016,447
19-02-2016,382
20-02-2016,384
21-02-2016,395
22-02-2016,156
23-02-2016,90
24-02-2016,27
18-02-2025,13
19-02-2025,96
20-02-2025,86
21-02-2025,152
22-02-2025,119
23-02-2025,100
24-02-2025,110
25-02-2025,168
26-02-2025,86
27-02-2025,108
28-02-2025,123
01-03-2025,390
02-03-2025,1152
03-03-2025,392
04-03-2025,13
05-03-2025,14
06-03-2025,6
